Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
The Hobbit: The Battle of the Five Armies,Adventure,Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage,Cate Blanchett",2014,144,7.4,385598,255.11,59
Harry Potter and the Order of the Phoenix,Adventure,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson",2007,138,7.5,385325,292,71
Fast Five,Action,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster",2011,131,7.3,300803,209.81,66
The Social Network,Biography,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.",David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake,Rooney Mara",2010,120,7.7,510100,96.92,95
American Sniper,Action,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind.",Clint Eastwood,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis",2014,133,7.3,353305,350.12,72
Lincoln,Biography,"As the War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn,Joseph Gordon-Levitt",2012,150,7.4,207497,182.2,86
Silver Linings Playbook,Comedy,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",2012,122,7.8,564364,132.09,81
The Fault in Our Stars,Drama,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,Josh Boone,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern",2014,126,7.8,271301,124.87,69
Fast & Furious,Action,"Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.",Justin Lin,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster",2009,107,6.6,217464,155.02,46
Spider-Man 3,Action,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",Sam Raimi,"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church",2007,139,6.2,406219,336.53,59
American Hustle,Crime,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.",David O. Russell,"Christian Bale, Amy Adams, Bradley Cooper,Jennifer Lawrence",2013,138,7.3,379088,150.12,90
Insurgent,Adventure,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,Robert Schwentke,"Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet",2015,119,6.3,171970,130,42
This Is the End,Comedy,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the Biblical Apocalypse.",Evan Goldberg,"James Franco, Jonah Hill, Seth Rogen,Jay Baruchel",2013,107,6.6,327838,101.47,67
Step Brothers,Comedy,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.,Adam McKay,"Will Ferrell, John C. Reilly, Mary Steenburgen,Richard Jenkins",2008,98,6.9,223065,100.47,51
Star Trek Into Darkness,Action,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch",2013,132,7.8,417663,228.76,72
Slumdog Millionaire,Drama,"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?""",Danny Boyle,"Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor",2008,120,8,677044,141.32,86
The Twilight Saga: Breaking Dawn - Part 2,Adventure,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",2012,115,5.5,194329,292.3,52
The Amazing Spider-Man,Action,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death.",Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan",2012,136,7,474320,262.03,66
The Maze Runner,Action,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",Wes Ball,"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster",2014,113,6.8,335531,102.41,57
Wanted,Action,"A frustrated office worker learns that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",Timur Bekmambetov,"Angelina Jolie, James McAvoy, Morgan Freeman, Terence Stamp",2008,110,6.7,312495,134.57,64
Creed,Drama,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",2015,133,7.6,175673,109.71,82
The Lego Movie,Animation,"An ordinary Lego construction worker, thought to be the prophesied 'Special', is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis.",Phil Lord,"Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett",2014,100,7.8,266508,257.76,83
Robin Hood,Action,"In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",Ridley Scott,"Russell Crowe, Cate Blanchett, Matthew Macfadyen,Max von Sydow",2010,140,6.7,221117,105.22,53
The Wolverine,Action,"When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons.",James Mangold,"Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima",2013,126,6.7,355362,132.55,60
Grown Ups 2,Comedy,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you.",Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade",2013,101,5.4,114482,133.67,19
The Incredible Hulk,Action,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he emerges whenever he loses his temper.",Louis Leterrier,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",2008,112,6.8,342355,134.52,61
Couples Retreat,Comedy,"A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional.",Peter Billingsley,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman",2009,113,5.5,86417,109.18,23
Magic Mike,Comedy,"A male stripper teaches a younger performer how to party, pick up women, and make easy money.",Steven Soderbergh,"Channing Tatum, Alex Pettyfer, Olivia Munn,Matthew McConaughey",2012,110,6.1,113686,113.71,72
Minions,Animation,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",Kyle Balda,"Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin",2015,91,6.4,159830,336.03,56
Despicable Me,Animation,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Pierre Coffin,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews",2010,95,7.7,410607,251.5,72
Zero Dark Thirty,Drama,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.",Kathryn Bigelow,"Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong",2012,157,7.4,226661,95.72,95
Tangled,Animation,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",Nathan Greno,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",2010,100,7.8,316459,200.81,71
The Hunger Games: Mockingjay - Part 2,Action,"As the war of Panem escalates to the destruction of other districts, Katniss Everdeen, the reluctant leader of the rebellion, must bring together an army against President Snow, while all she holds dear hangs in the balance.",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",2015,137,6.6,202380,281.67,65
Taken,Action,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser",2008,93,7.8,502961,145,50
Pitch Perfect 2,Comedy,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.",Elizabeth Banks,"Anna Kendrick, Rebel Wilson, Hailee Steinfeld,Brittany Snow",2015,115,6.5,108306,183.44,63
Monsters University,Animation,A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.,Dan Scanlon,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",2013,104,7.3,252119,268.49,65
Harry Potter and the Deathly Hallows: Part 1,Adventure,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy",2010,146,7.7,357213,294.98,65
300: Rise of an Empire,Action,"Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson",2014,102,6.2,237887,106.37,48
The Curious Case of Benjamin Button,Drama,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",David Fincher,"Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond",2008,166,7.8,485075,127.49,70
The Bourne Ultimatum,Action,Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.,Paul Greengrass,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",2007,115,8.1,525700,227.14,85
World War Z,Action,"Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.",Marc Forster,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",2013,116,7,494819,202.35,63
Mission: Impossible - Ghost Protocol,Action,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton",2011,132,7.4,382459,209.36,73
Oz the Great and Powerful,Adventure,"A frustrated circus magician from Kansas is transported to a magical land called Oz, where he will have to fulfill a prophecy to become the king, and release the land from the Wicked Witches using his great (but fake) powers.",Sam Raimi,"James Franco, Michelle Williams, Rachel Weisz, Mila Kunis",2013,130,6.3,181521,234.9,44
Big Hero 6,Animation,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",Don Hall,"Ryan Potter, Scott Adsit, Jamie Chung,T.J. Miller",2014,102,7.8,309186,222.49,74
Iron Man 2,Action,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",Jon Favreau,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow,Don Cheadle",2010,124,7,556666,312.06,57
Olympus Has Fallen,Action,"Disgraced Secret Service agent (and former presidential guard) Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers.",Antoine Fuqua,"Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett",2013,119,6.5,214994,98.9,41
The Proposal,Comedy,A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.,Anne Fletcher,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen,Craig T. Nelson",2009,108,6.7,241709,163.95,48
Get Hard,Comedy,"When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.",Etan Cohen,"Will Ferrell, Kevin Hart, Alison Brie, T.I.",2015,100,6,95119,90.35,34
Just Go with It,Comedy,"On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",Dennis Dugan,"Adam Sandler, Jennifer Aniston, Brooklyn Decker,Nicole Kidman",2011,117,6.4,182069,103.03,33
The Town,Crime,"As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the FBI agent looking to bring him and his crew down.",Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",2010,125,7.6,294553,92.17,74
Sherlock Holmes: A Game of Shadows,Action,"Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary, Professor Moriarty.",Guy Ritchie,"Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams",2011,129,7.5,357436,186.83,48
Salt,Action,A CIA agent goes on the run after a defector accuses her of being a Russian spy.,Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",2010,100,6.4,255813,118.31,65
District 9,Action,An extraterrestrial race forced to live in slum-like conditions on Earth suddenly finds a kindred spirit in a government agent who is exposed to their biotechnology.,Neill Blomkamp,"Sharlto Copley, David James, Jason Cope, Nathalie Boltt",2009,112,8,556794,115.65,81
The Other Guys,Action,Two mismatched New York City detectives seize an opportunity to step up like the city's top cops whom they idolize -- only things don't quite go as planned.,Adam McKay,"Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes",2010,107,6.7,199900,119.22,64
American Gangster,Biography,"In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East.",Ridley Scott,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor,Josh Brolin",2007,157,7.8,337835,130.13,76
2012,Action,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,Roland Emmerich,"John Cusack, Thandie Newton, Chiwetel Ejiofor,Amanda Peet",2009,158,5.8,297984,166.11,49
Harry Potter and the Half-Blood Prince,Adventure,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",2009,153,7.5,351059,301.96,78
Argo,Biography,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.",Ben Affleck,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin",2012,120,7.7,481274,136.02,86
Hairspray,Comedy,Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,Adam Shankman,"John Travolta, Queen Latifah, Nikki Blonsky,Michelle Pfeiffer",2007,117,6.7,102954,118.82,81
Ratatouille,Animation,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,Brad Bird,"Brad Garrett, Lou Romano, Patton Oswalt,Ian Holm",2007,111,8,504039,206.44,96
The Book of Eli,Action,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",Albert Hughes,"Denzel Washington, Mila Kunis, Ray Stevenson, Gary Oldman",2010,118,6.9,241359,94.82,53
I Am Legend,Drama,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",Francis Lawrence,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield",2007,101,7.2,565721,256.39,65
Men in Black 3,Action,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin,Jemaine Clement",2012,106,6.8,278379,179.02,58
Super 8,Mystery,"During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.",J.J. Abrams,"Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney",2011,112,7.1,298913,126.98,72
Up,Animation,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",Pete Docter,"Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer",2009,96,8.3,722203,292.98,88
Gravity,Drama,Two astronauts work together to survive after an accident which leaves them alone in space.,Alfonso Cuarón,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",2013,91,7.8,622089,274.08,96
The Hobbit: The Desolation of Smaug,Adventure,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage,Ken Stott",2013,161,7.9,513744,258.36,66
Birth of the Dragon,Action,"Young, up-and-coming martial artist, Bruce Lee, challenges legendary kung fu master Wong Jack Man to a no-holds-barred fight in Northern California.",George Nolfi,"Billy Magnussen, Terry Chen, Teresa Navarro,Vanessa Ross",2016,103,3.9,552,93.05,61
Godzilla,Action,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe",2014,123,6.4,318058,200.66,62
The Bourne Legacy,Action,"An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films.",Tony Gilroy,"Jeremy Renner, Rachel Weisz, Edward Norton, Scott Glenn",2012,135,6.7,245374,113.17,61
Lucy,Action,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",Luc Besson,"Scarlett Johansson, Morgan Freeman, Min-sik Choi,Amr Waked",2014,89,6.4,352698,126.55,61
Alice in Wonderland,Adventure,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",Tim Burton,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter,Anne Hathaway",2010,108,6.5,324898,334.19,53
The Break-Up,Comedy,"In a bid to keep their luxurious condo from their significant other, a couple's break-up proceeds to get uglier and nastier by the moment.",Peyton Reed,"Jennifer Aniston, Vince Vaughn, Jon Favreau, Joey Lauren Adams",2006,106,5.8,106381,118.68,45
The Expendables,Action,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren",2010,103,6.5,283282,102.98,45
Wreck-It Ralph,Animation,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",Rich Moore,"John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman",2012,101,7.8,290559,189.41,72
Snow White and the Huntsman,Action,"In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.",Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin",2012,127,6.1,239772,155.11,57
Transformers: Dark of the Moon,Action,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",Michael Bay,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel",2011,154,6.3,338369,352.36,42
Juno,Comedy,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child.",Jason Reitman,"Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman",2007,96,7.5,432461,143.49,81
Enchanted,Animation,"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil queen, where she falls in love with a lawyer.",Kevin Lima,"Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey",2007,107,7.1,150353,127.71,75
Clash of the Titans,Action,"Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.",Louis Leterrier,"Sam Worthington, Liam Neeson, Ralph Fiennes,Jason Flemyng",2010,106,5.8,238206,163.19,39
Tron,Action,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",2010,125,6.8,273959,172.05,49
Kickboxer: Vengeance,Action,A kick boxer is out to avenge his brother.,John Stockwell,"Dave Bautista, Alain Moussi, Gina Carano, Jean-Claude Van Damme",2016,90,4.9,6809,131.56,37
Ghost Rider,Action,"Stunt motorcyclist Johnny Blaze gives up his soul to become a hellblazing vigilante, to fight against power hungry Blackheart, the son of the devil himself.",Mark Steven Johnson,"Nicolas Cage, Eva Mendes, Sam Elliott, Matt Long",2007,114,5.2,190673,115.8,35
Unbroken,Biography,"After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",Angelina Jolie,"Jack O'Connell, Miyavi, Domhnall Gleeson, Garrett Hedlund",2014,137,7.2,114006,115.6,59
Brave,Animation,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",Mark Andrews,"Kelly Macdonald,Billy Connolly, Emma Thompson, Julie Walters",2012,93,7.2,293941,237.28,69
Daddy's Home,Comedy,"Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns.",Sean Anders,"Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church",2015,96,6.1,68306,150.32,42
Megamind,Animation,"The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",Tom McGrath,"Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey",2010,95,7.3,183926,148.34,63
Blood Father,Action,An ex-con reunites with his estranged wayward 17-year old daughter to protect her from drug dealers who are trying to kill her.,Jean-François Richet,"Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks",2016,88,6.4,40357,93.95,66
Kung Fu Panda 3,Animation,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",Alessandro Carloni,"Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie",2016,95,7.2,89791,143.52,66
Horrible Bosses,Comedy,Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.,Seth Gordon,"Jason Bateman, Charlie Day, Jason Sudeikis, Steve Wiebe",2011,98,6.9,368556,117.53,57
Taken 3,Action,"Ex-government operative Bryan Mills is accused of a ruthless murder he never committed or witnessed. As he is tracked and pursued, Mills brings out his particular set of skills to find the true killer and clear his name.",Olivier Megaton,"Liam Neeson, Forest Whitaker, Maggie Grace,Famke Janssen",2014,109,6,144715,89.25,26
X-Men: The Last Stand,Action,"When a cure is found to treat mutations, lines are drawn amongst the X-Men, led by Professor Charles Xavier, and the Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",Brett Ratner,"Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen",2006,104,6.7,406540,234.36,58
Night at the Museum: Secret of the Tomb,Adventure,"Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",Shawn Levy,"Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke",2014,98,6.2,74886,113.73,47
Knocked Up,Comedy,"For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.",Judd Apatow,"Seth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann",2007,129,7,309398,148.73,85
The Pursuit of Happyness,Biography,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Gabriele Muccino,"Will Smith, Thandie Newton, Jaden Smith, Brian Howe",2006,117,8,361105,162.59,64
Public Enemies,Biography,"The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.",Michael Mann,"Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke",2009,140,7,240323,97.03,70
Teenage Mutant Ninja Turtles,Action,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",Jonathan Liebesman,"Megan Fox, Will Arnett, William Fichtner, Noel Fisher",2014,101,5.9,178527,190.87,31
The Heat,Action,An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.,Paul Feig,"Sandra Bullock, Michael McDonald, Melissa McCarthy,Demián Bichir",2013,117,6.6,140151,159.58,60
Green Lantern,Action,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard,Mark Strong",2011,114,5.6,231907,116.59,39
The Hunger Games: Mockingjay - Part 1,Action,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",2014,123,6.7,331902,337.1,64
The King's Speech,Biography,"The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.",Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter,Derek Jacobi",2010,118,8,534388,138.8,88
Life of Pi,Adventure,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Ang Lee,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu",2012,127,7.9,471109,124.98,79
Live Free or Die Hard,Action,John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.,Len Wiseman,"Bruce Willis, Justin Long, Timothy Olyphant, Maggie Q",2007,128,7.2,347567,134.52,69
Ted,Comedy,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",Seth MacFarlane,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale",2012,106,7,494641,218.63,62
RED,Action,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants.",Robert Schwentke,"Bruce Willis, Helen Mirren, Morgan Freeman,Mary-Louise Parker",2010,111,7.1,250012,90.36,60
Happy Feet,Animation,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",George Miller,"Elijah Wood, Brittany Murphy, Hugh Jackman, Robin Williams",2006,108,6.5,141141,197.99,77
Noah,Action,A man is chosen by his world's creator to undertake a momentous mission before an apocalyptic flood cleanses the world.,Darren Aronofsky,"Russell Crowe, Jennifer Connelly, Anthony Hopkins, Emma Watson",2014,138,5.8,209700,101.16,68
